# z  nz0 nz1 nz2 nz3 nz4
3.850000000000000089e-01 1.973355689128902107e-02 2.243675976491661325e-02 2.398614919951361051e-03 2.281949848532725117e-03 4.361718047614119053e+08
3.950000000000000178e-01 1.879975251159609825e-02 2.264344080053818167e-02 2.454759339396658281e-03 2.290052206341400883e-03 2.646971761033302546e+08
4.050000000000000266e-01 1.777715026916442537e-02 2.275044507901329005e-02 2.798848818832101563e-03 2.447795365255295199e-03 3.187887700381396413e+08
4.150000000000000355e-01 1.656907752647289803e-02 2.269238211030443972e-02 3.354129216012857306e-03 2.969798876069347764e-03 4.082953222635557652e+08
4.249999999999999889e-01 1.533881256559530351e-02 2.263785137959896041e-02 3.606422334311120640e-03 3.162347621851395712e-03 4.241758105433593988e+08
4.349999999999999978e-01 1.441382293756551455e-02 2.270558145892680874e-02 3.596731438015585754e-03 3.167934513928568827e-03 4.287051237898993492e+08
4.450000000000000067e-01 1.356051973262718119e-02 2.304192917568241225e-02 3.562116755008122582e-03 3.169550206191402205e-03 4.499313616512787938e+08
4.550000000000000155e-01 1.264659907999403712e-02 2.335934791788926018e-02 3.754447631139073462e-03 3.252259102578673820e-03 4.519697148618078828e+08
4.650000000000000244e-01 1.140358734763961129e-02 2.334493320549829720e-02 4.413751882834437978e-03 3.515951305499372126e-03 4.375020448686597347e+08
4.749999999999999778e-01 1.003785423992749511e-02 2.318087444734032512e-02 4.803160809891221690e-03 3.586165133056595788e-03 6.087359591786510944e+08
4.849999999999999867e-01 9.582804490026826730e-03 2.297747642377997654e-02 4.870991749280190707e-03 3.581293304657792633e-03 7.113841322140185833e+08
4.949999999999999956e-01 9.157320512285935937e-03 2.269219100017621366e-02 4.872255651999823738e-03 3.605580692546892386e-03 6.940846812781596184e+08
5.050000000000000044e-01 8.901109431589136756e-03 2.194310851053008632e-02 5.485348513674266450e-03 3.875467755727880076e-03 7.345446694262713194e+08
5.150000000000000133e-01 8.627830129689546823e-03 2.061407637993364558e-02 7.620121815763492013e-03 4.603490380817263153e-03 6.940700949006379843e+08
5.250000000000000222e-01 8.459144524773996865e-03 2.010626805880731324e-02 8.303087489361062751e-03 4.841704119727414241e-03 7.846301506288723946e+08
5.350000000000000311e-01 8.443801687329520467e-03 2.003061115434000977e-02 8.344306964566285470e-03 4.835688182362866440e-03 8.947561400416929722e+08
5.450000000000000400e-01 8.360858841324031801e-03 1.994134112401171194e-02 8.372497649115873478e-03 4.827629086642640059e-03 8.378320705872266293e+08
5.550000000000000488e-01 7.480692475232668046e-03 1.936063173666803874e-02 9.435762110131942076e-03 5.040044255184820791e-03 7.979805842730097771e+08
5.650000000000000577e-01 5.730529617663554683e-03 1.755627471615952770e-02 1.332435209641536639e-02 5.669126636974071605e-03 8.669273340525138378e+08
5.749999999999999556e-01 4.673035608035724063e-03 1.692272655092167191e-02 1.433365597647192832e-02 5.910723548447613385e-03 9.333022713669021130e+08
